 DATE,S/N,PO NUMBER,COMPANY,CATEGORY,ITEM,QUANTITY REQUESTED,SUPPLIER'S PRICE,TOTAL ACTUAL AMOUNT,NAM UNIT PRICE,TOTAL NAM AMOUNT,TOTAL NAM AMOUNT SUB TOTAL,INCOME,INCOME PERCENT,,DATE DELIVERED,PAYMENT TERM,DUE DATE,SI NUMBER, REMARKS,SUPPLIER,ADDRESS,TIN,SALES INVOICE NO.,CONTACT PERSON/CONTACT #
01/12/2026,016,ADMNPO-2026-001-018,COVAC,OFFICE SUPPLY,A4 BOND PAPER HARDCOPY,10, ₱ 180.00 ," ₱ 1,800.00 ", ₱ 205.00 ," ₱ 2,050.00 ",, ₱ 250.00 ,12%,,,,,,,,,,,
01/12/2026,016,ADMNPO-2026-001-018,COVAC,OFFICE SUPPLY,STAPLE WIRE NO.35,1, ₱ 27.00 , ₱ 27.00 , ₱ 32.40 , ₱ 32.40 ,, ₱ 5.40 ,17%,,,,,,,,,,,
01/12/2026,016,ADMNPO-2026-001-018,COVAC,OFFICE SUPPLY,LONG EXPANDABLE FOLDER,20, ₱ 13.00 , ₱ 260.00 , ₱ 20.25 , ₱ 405.00 ,, ₱ 145.00 ,36%,,,,,,,,,,,
,,,,,,,,,,," ₱ 2,487.40 ",,,,,,,,,,,,,
01/12/2026,017,ADMNPO-2026-001-019,COVAC,OFFICE SUPPLY,LONG EXPANDABLE FOLDER,15, ₱ 13.00 , ₱ 195.00 , ₱ 20.25 , ₱ 303.75 ,, ₱ 108.75 ,36%,,,,,,,,,,,
01/12/2026,017,ADMNPO-2026-001-019,COVAC,OFFICE SUPPLY,ORDINARY PLASTIC FASTENER,1, ₱ 1.00 , ₱ 1.00 , ₱ 43.20 , ₱ 43.20 ,, ₱ 42.20 ,98%,,,,,,,,,,,
,,,,,,,,,,, ₱ 346.95 ,,,,,,,,,,,,,
01/12/2026,018,ADMNPO-2026-001-020,COVAC,OFFICE SUPPLY,A4 BOND PAPER HARDCOPY,5, ₱ 190.00 , ₱ 950.00 , ₱ 205.00 ," ₱ 1,025.00 ",, ₱ 75.00 ,7%,,,,,,,,,,,
,,,,,,,,,,," ₱ 1,025.00 ",,,,,,,,,,,,,
01/12/2026,019,ADMNPO-2026-001-022,COVAC,OFFICE SUPPLY,A4 BOND PAPER HARDCOPY,15, ₱ 190.00 ," ₱ 2,850.00 ", ₱ 205.00 ," ₱ 3,075.00 ",, ₱ 225.00 ,7%,,,,,,,,,,,
01/12/2026,019,ADMNPO-2026-001-022,COVAC,OFFICE SUPPLY,WHITEBOARD MARKER (BLACK),5, ₱ 20.00 , ₱ 100.00 , ₱ 28.35 , ₱ 141.75 ,, ₱ 41.75 ,29%,,,,,,,,,,,
,,,,,,,,,,," ₱ 3,216.75 ",,,,,,,,,,,,,
01/12/2026,020,ADMNPO-2026-001-023,COVAC,OFFICE SUPPLY,A4 BOND PAPER HARDCOPY,15, ₱ 190.00 ," ₱ 2,850.00 ", ₱ 205.00 ," ₱ 3,075.00 ",, ₱ 225.00 ,7%,,,,,,,,,,,
01/12/2026,020,ADMNPO-2026-001-023,COVAC,OFFICE SUPPLY,CLEARSHEET A4,2, ₱ 130.00 , ₱ 260.00 , ₱ 175.50 , ₱ 351.00 ,, ₱ 91.00 ,26%,,,,,,,,,,,
01/12/2026,020,ADMNPO-2026-001-023,COVAC,OFFICE SUPPLY,GREEN EXPANDABLE FOLDER (SHORT),10, ₱ 13.00 , ₱ 130.00 , ₱ 16.00 , ₱ 160.00 ,, ₱ 30.00 ,19%,,,,,,,,,,,
01/12/2026,020,ADMNPO-2026-001-023,COVAC,OFFICE SUPPLY,COATED CLIPS NO.33,1, ₱ 9.00 , ₱ 9.00 , ₱ 12.15 , ₱ 12.15 ,, ₱ 3.15 ,26%,,,,,,,,,,,
01/12/2026,020,ADMNPO-2026-001-023,COVAC,OFFICE SUPPLY,SHORT BROWN ENVELOPE,10, ₱ 1.50 , ₱ 15.00 , ₱ 2.57 , ₱ 25.70 ,, ₱ 10.70 ,42%,,,,,,,,,,,
01/12/2026,020,ADMNPO-2026-001-023,COVAC,OFFICE SUPPLY,STICKY NOTES 3X3 HBW,5, ₱ 18.00 , ₱ 90.00 , ₱ 20.25 , ₱ 101.25 ,, ₱ 11.25 ,11%,,,,,,,,,,,
,,,,,,,,,,," ₱ 3,725.10 ",,,,,,,,,,,,,
01/12/2026,021,ADMNPO-2026-001-026,COVAC,OFFICE SUPPLY,DISHWASHING LIQUID,20, ₱ 100.00 ," ₱ 2,000.00 ", ₱ 135.00 ," ₱ 2,700.00 ",, ₱ 700.00 ,26%,,,,,,,,,,,
,,,,,,,,,,," ₱ 2,700.00 ",,,,,,,,,,,,,
01/12/2026,022,ADMNPO-2026-001-029,COVAC,OFFICE SUPPLY,ARCH FILE A4/SHORT,3, ₱ 70.00 , ₱ 210.00 , ₱ 101.25 , ₱ 303.75 ,, ₱ 93.75 ,31%,,,,,,,,,,,
,,,,,,,,,,, ₱ 303.75 ,,,,,,,,,,,,,
01/14/2026,023,OPEN PO,ITC,OFFICE SUPPLY,PACKAGING TAPE (synergy),250, ₱ 37.00 ," ₱ 9,250.00 ", ₱ 51.87 ," ₱ 12,967.50 ",," ₱ 3,717.50 ",29%,,,,,,,,,,,
,,,,,,,,,,," ₱ 12,967.50 ",,,,,,,,,,,,,
01/14/2026,024,2026-00014,ASTI,OFFICE SUPPLY,A4 HARDCOPY BONDPAPER,10, ₱ 180.00 ," ₱ 1,800.00 ", ₱ 208.80 ," ₱ 2,088.00 ",, ₱ 288.00 ,14%,,,,,,,PAMCO,,,,
01/14/2026,024,2026-00014,ASTI,OFFICE SUPPLY,COLORED PAPER BLUE NAPPCO 80gsm,5, ₱ 355.00 ," ₱ 1,775.00 ", ₱ 500.00 ," ₱ 2,500.00 ",, ₱ 725.00 ,29%,,,,,,,PAMCO,,,,
01/14/2026,024,2026-00014,ASTI,OFFICE SUPPLY,STICKER PAPER GREEN,30, ₱ 41.00 ," ₱ 1,230.00 ", ₱ 44.40 ," ₱ 1,332.00 ",, ₱ 102.00 ,8%,,,,,,,SHOPEE,,,,
,,,,,,,,,,," ₱ 5,920.00 ",,,,,,,,,,,,,
01/15/2026,025,PO00005272,ENKEI,PPE,POWERHOUSE VHEAVY DUTY AUTO DARKENING MASK,2," ₱ 1,893.00 "," ₱ 3,786.00 "," ₱ 3,469.97 "," ₱ 6,939.94 ",," ₱ 3,153.94 ",45%,,,,,,,SHOPEE,,,,
,,,,,,,,,,," ₱ 6,939.94 ",,,,,,,,,,,,,
01/15/2026,026,PO/AP/26/01-0081,MYBRUSH,OFFICE TOOLS AND EQUIPMENT,ACU DRAIN PUMP,3, ₱ 219.56 , ₱ 658.68 , ₱ 451.44 ," ₱ 1,354.32 ",, ₱ 695.64 ,51%,,,,,,,SHOPEE,,,,
01/15/2026,026,PO/AP/26/01-0081,MYBRUSH,OFFICE TOOLS AND EQUIPMENT,GREASE PASTE HEAT 15GRAMS,10, ₱ 20.00 , ₱ 200.00 , ₱ 66.50 , ₱ 665.00 ,, ₱ 465.00 ,70%,,,,,,,SHOPEE,,,,
01/15/2026,026,PO/AP/26/01-0081,MYBRUSH,OFFICE TOOLS AND EQUIPMENT,SUS304 ROUND HEAD SCREW - M3*10,40, ₱ 2.17 , ₱ 86.80 , ₱ 3.82 , ₱ 152.95 ,, ₱ 66.15 ,43%,,,,,,,SHOPEE,,,,
01/15/2026,026,PO/AP/26/01-0081,MYBRUSH,OFFICE TOOLS AND EQUIPMENT,SUS304 ROUND HEAD SCREW - M3*12,40, ₱ 2.45 , ₱ 98.00 , ₱ 2.66 , ₱ 106.30 ,, ₱ 8.30 ,8%,,,,,,,SHOPEE,,,,
,,,,,,,,,,," ₱ 2,278.57 ",,,,,,,,,,,,,
01/15/2026,027,PO/AP/26/01-0080,MYBRUSH,OFFICE TOOLS AND EQUIPMENT,COOLING MOTOR,1," ₱ 41,872.00 "," ₱ 41,872.00 "," ₱ 82,866.37 "," ₱ 82,866.37 ",," ₱ 40,994.37 ",49%,,,,,,,,,,,
,,,,,,,,,,," ₱ 82,866.37 ",,,,,,,,,,,,,
01/15/2026,028,PO/AP/26/01-0117,MYBRUSH,CLEANING MATERIALS,GLASS CLEANER,3, ₱ 90.00 , ₱ 270.00 , ₱ 192.19 , ₱ 576.57 ,, ₱ 306.57 ,53%,,,,,,,LAM GENERAL MERCH INC.,TANAUAN,776-131-264-00003,9704/0224730,
01/15/2026,028,PO/AP/26/01-0117,MYBRUSH,CLEANING MATERIALS,LYSOL PINK,3, ₱ 109.00 , ₱ 327.00 , ₱ 344.47 ," ₱ 1,033.41 ",, ₱ 706.41 ,68%,,,,,,,WRAP & CARRY,TANAUAN,137-827-797-00000,1555346,
01/15/2026,028,PO/AP/26/01-0117,MYBRUSH,CLEANING MATERIALS,SCOTCH BRITE,8, ₱ 16.00 , ₱ 128.00 , ₱ 19.95 , ₱ 159.60 ,, ₱ 31.60 ,20%,,,,,,,SHOPEE,,,,
,,,,,,,,,,," ₱ 1,769.58 ",,,,,,,,,,,,,
