NAM SUPPLY,,,,,,,,,
PRODUCT,CATEGORY,UNIT,SUPPLIER,SUPPLIER PRICE,NAM PRICE,MARGIN,,CATEGORY,
EVEREADY BATTERY AA (4 PCS/PACK) BLACK,OS,PACK,, ₱ 86.50 , ₱ 116.78 ,35.00%,,,
EVEREADY BATTERY AAA (4 PCS/PACK) BLACK,OS,PACK,, ₱ 118.20 , ₱ 159.57 ,35.00%,,,
EVERLASTING RUBBER BAND 50G,OS,BOX,PAMCO, ₱ 21.00 , ₱ 28.35 ,35.00%,,,
EXCEL PHOTOPAPER GLOSSY A4 200GSM 20 SHEETS/PACK,OS,PACK,, ₱ 60.00 , ₱ 81.00 ,35.00%,,,
"EXPANDABLE FOLDER LONG (BLUE, GREEN, LIGHT GREEN)",OS,PC,, ₱ 23.00 , ₱ 31.05 ,35.00%,,,
"EXPANDABLE FOLDER SHORT (BLUE, GREEN)",OS,PC,, ₱ 18.00 , ₱ 23.40 ,30.00%,,,
"FABER CASTELL GEL PEN 0.7 - 10 PIECES/PACK (BLACK, BLUE, RED)",OS,BOX,ONLINE, ₱ 471.00 , ₱ 635.85 ,35.00%,,,
"FABER CASTELL GEL PEN 0.7 (BLACK, BLUE, RED)",OS,PC,ONLINE, ₱ 47.10 , ₱ 63.59 ,35.01%,,,
"FABER CASTELL HIGHLIGHTER (NEON GREEN, YELLOW GREEN)",OS,PC,, ₱ 45.00 , ₱ 60.75 ,35.00%,,,
"FABER CASTELL PEN 0.5 (BLACK, BLUE, RED)",OS,PC,, ₱ 4.00 , ₱ 5.40 ,35.00%,,,
FABRIC CONDITIONER,CM,GALLON,SABON STATION, ₱ 140.00 , ₱ 189.00 ,35.00%,,,
FILE FOLDER ACCORDION,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
FILE ORGANIZER BOX,OS,PC,, ₱ 200.00 , ₱ 250.00 ,25.00%,,,
FILLING TRAY METAL DOUBLE (DETACHABLE),OS,UNIT,, ₱ 325.00 , ₱ 432.25 ,33.00%,,,
FILLING TRAY METAL DOUBLE (FIXED),OS,UNIT,, ₱ 595.00 , ₱ 791.35 ,33.00%,,,
FILLING TRAY METAL TRIPLE (DETACHABLE),OS,UNIT,, ₱ 395.00 , ₱ 525.35 ,33.00%,,,
FILLING TRAY METAL TRIPLE (FIXED),OS,UNIT,, ₱ 695.00 , ₱ 924.35 ,33.00%,,,
FILLING TRAY PLASTIC DOUBLE,OS,UNIT,, ₱ 280.00 , ₱ 378.00 ,35.00%,,,
FILLING TRAY PLASTIC TRIPLE,OS,UNIT,, ₱ 420.00 , ₱ 558.60 ,33.00%,,,
"FLEXSTICK PEN (BLACK, BLUE, RED)",OS,PC,ONLINE, ₱ 4.00 , ₱ 5.40 ,35.00%,,,
